joke,semantic_word_1,semantic_word_2,semantic_word_3
going to church does not make you a christian any more than standing in a garage makes you a car.,does not,,
"if at first you do not succeed, we have a lot in common.",do not,,
"failure is not falling down, it is not getting up again.",not,,
your family tree must be a cactus because everybody on it is a prick.,your,everybody,
"why is the day that you do laundry, cook, clean, iron and so on, called a day off?",why,,
friends wave red flags when you have a bad idea. real friends pick up a camera.,wave,,
my job is secure. no one else wants it.,no,,
it has / it is better to let someone think you are an idiot than to open your mouth and prove it.,you,open,
my ex wrote to me: can you delete my number? i responded: who is this?,me,who,
"best friends: ready to die for each other, but will fight to the death over the last slice of pizza.",,,
whoever said nothing is impossible is a liar. i have been doing nothing for years.,nothing,i,
there are few things i enjoy more than picking an argument with my girlfriend when she has the hiccups.,,,
"you are so ugly, when your mom dropped you off at school she got a fine for littering.",you,,
"i did not say it was your fault, i said i was blaming you.",did not,,
top 3 situations that require witnesses:1) crimes 2) accidents 3) marriages. need i say more?,,,
"there is a new trend in our office; everyone is putting names on their food. i saw it today, while i was eating a sandwich named kevin.",everyone,i,
a fine is a tax for doing wrong. a tax is a fine for doing well.,,,
my doctor told me that jogging could add years to my life. he was right. i feel ten years older already.,my,,
"wife: ""i look fat. can you give me a compliment?"" husband: ""you have perfect eyesight.""",you,eyesight,
i like you. you remind me of when i was young and stupid.,you,i,
escalators do not break down... they just turn into stairs.,,,
"if i had / i would shot you sooner, i had / i would be out of jail by now.",shot,i,
it is much easier to apologize than to ask permission.,,,
"my opinions may have changed, but not the fact that i am right.",my,not,
"every time you talk to your wife, your mind should remember that... 'this conversation will be recorded for training and quality purpose'",you,remember,
"i am busy contemplating my future. do not worry, this will only take a minute.",i,do not,
my wife made me into millionaire. i was a multi-millionaire before we met.,my,,
i live in constant fear that my kid will become a famous artist or painter and i will have thrown out about a trillion dollars of her work.,my,thrown,
"for every action, there is a corresponding over-reaction.",every,,
"congratulations, if you press the elevator button three times it goes into hurry mode really...",press,,
turning vegan is a big missed steak.,,,
eat right. stay fit. die anyway.,,,
you must have been born on a highway because that has / that is where most accidents happen.,you,most,
i can not believe i got fired from the calendar factory. all i did was take a day off.,can not,all,
i met my soulmate. she did not.,my,did not,
never trust a dog to watch your food.,never,,
i like to finish other people's sentences because... my version is better.,my,,
she wanted a puppy. but i did not want a puppy. so we compromised and got a puppy.,did not,i,
"i hate lying people, they are always in my way to the ocean.",i,my,
"cats spend two thirds of their lives sleeping, and the other third making viral videos.",sleeping,,
why was cinderella thrown off the basketball team? she ran away from the ball.,why,ran,
i married miss right. i just did not know her first name was always.,i,did not,
"i was not originally going to get a brain transplant, but then i changed my mind.",i,then,
adults are always asking little kids what they want to be when they grow up because they are looking for ideas.,what,,
"why is it everything i love is either unhealthy, addicting or has multiple restraining orders against me?",why,me,
i am reading a book about anti-gravity. it has / it is impossible to put down.,reading,,
if time is money. are atm's time machines?,,,
i had / i would tell you a chemistry joke but i know i would not get a reaction.,i,,
the reward for a job well done is more work.,more,,
nothing is fool proof to a sufficiently talented fool.,nothing,,
that awkward moment when you are in a meeting and your stomach decides to sound like a dying whale.,you,,
my wife and i always compromise. i admit i am wrong and she agrees with me.,my,,
my superpower is making people laugh. which would be great if i was trying to be funny.,my,,
my life is an open book. but it has / it is very poorly written and i die in the end.,my,open,
i was not born with enough middle fingers to let you know how i feel about you.,was not,you,
"refusing to go to the gym counts as resistance training, right?",,,
i am the kind of guy who stops the microwave at 1 second just to feel like a bomb defuser.,i,who,
i think that if i died and went straight to hell it would take me at least a week to realize i was not at work anymore.,i,was not,
"if laughter is the best medicine, your face must be curing the world.",your,,
"do not be irreplaceable - if you  can not be replaced, you  can not be promoted.",do not,you,
everyone has a friend who laughs funnier than he jokes.,everyone,,
never break someone's heart because they have only one inside...break their bones because they have 206 of them.,never,,
"before having a kid the most important thing to ask yourself is ""am i ready to watch the exact same cartoon on repeat for the next 4 years?""",yourself,,
why did the blond get fired from the banana plantation? because she threw out all the bent ones.,why,threw,
"dear couples who fight in public, stop trying to whisper and would it kill you to include some backstory.",whisper,,
the lesson of halloween is that pretending to be something you are not will lead to a sweet reward.,you,,
"one day you are the best thing since sliced bread. the next, you are toast.",you,,
"i saw a sign that said ""watch for children"" and i thought, ""that sounds like a fair trade"".",i,thought,
"if you really want to know about mistakes, you should ask your parents.",you,,
accidentally pooped my pants in the elevator. i am taking this shit to a whole new level.,my,whole,
did you hear about the guy who got hit in the head with a can of soda? he was lucky it was a soft drink.,hit,,
"i remember when halloween was the scariest night of the year. now, it has / it is election night.",remember,,
"you may fall from the sky, you may fall from a tree, but the best way to fall... is in love with me.",you,sky,
"moses was leading his people through the desert for 40 years. it seems, even in biblical times men avoided asking the way.",asking,,
my husband is on the roof - only a few inches away from an insurance claim that could completely change my life.,my,change,
"i am known at the gym as the ""before picture.""",i,,
"a man enters a store and says: ""15 litres of wine please."" ""did you bring a container for this?"" ""you're speaking to it.""",you,,
i was born to be a pessimist. my blood type is b negative.,i,,
i think it has / it is wrong that only one company makes the game monopoly.,i,wrong,
the only knowledge that can hurt you is the knowledge you do not have.,only,you,
"if someone hates you for no reason, give that motherfucker a reason.",you,,
the man who discovered copper died penniless.,,,
i feel like i am diagonally parked in a parallel universe.,i,,
"sometimes the first step to forgiveness, is realising the other person was born an idiot.",,,
people are making end of the world jokes. like there is no tomorrow.,no,,
where do they get the seeds to plant seedless watermelons?,where,,
the hardness of butter is directly proportional to the softness of the bread.,,,
why does it feel like time slows down during the day when you are at work and rapidly speeds up at night when you get home?,why,you,
"my girlfriends dad asked me what i do. apparently, ""your daughter"" was not the right answer.",my,what,was not
the grass may be greener on the other side but at least you do not have to mow it.,you,do not,
"the depressing thing about tennis is that no matter how good i get, i shall / i will never be as good as a wall.",i,never,
depression is merely anger without enthusiasm.,without,,
"i would give my dad what he really wants on father's day, but i can not afford to move out yet.",i,can not,
you know your children are growing up when they stop asking you where they came from and refuse to tell you where they are going.,you,refuse,
women should not have children after 35. really ... 35 children are enough.,not,enough,
"i have never understood why women love cats. cats are independent, they do not listen, they do not come in when you call, they like to stay out all night, and when they are home they like to be left alone and sleep. in other words, every quality that women hate in a man, they love in a cat.",never,do not,
"god gave us the brain to work out problems. however, we use it to create more problems.",gave,however,
"according to most studies, people's number one fear is public speaking. number two is death. death is number two. does that sound right? this means to the average person, if you go to a funeral, you are better off in the casket than doing the eulogy.",most,you,
"it has / it is funny, when i walk into a spider web i demolish his home and misplace his dinner yet i still feel like the victim.",i,yet,
"time waits for no man, time is obviously a woman.",no,,
"people say money is not the key to happiness, but i always figured if you had enough money, you can have a key made.",not,i,you
friends are forever. until they get in a relationship.,,,
"doing things that you are not supposed to do at work makes your vision, hearing and alertness much better.",not,much,
we never knew he was a drunk... until he showed up to work sober.,never,,
how do you make a blonde's eyes light up? shine a flashlight in their ear.,how,,
"children in the back seats of cars cause accidents, but accidents in the back seats of cars cause children.",,,
"one cigarette shortens your life by two hours, one bottle of vodka by three hours, and a workday eight hours.",,,
"if i had a dollar for every time you said something smart, i had / i would be broke.",i,you,
"what has / what is six inches long, two inches wide, and drives women wild? money.",what,,
"i got caught in police speed trap yesterday. the officer walked up to my car and said ""i've been waiting all day for you "" well i said. ""i got here as fast as i could.""",i,waiting,you
"a memorandum is written not to inform the reader, but to protect the writer.",not,,
is not it weird how when a cop drives by you feel paranoid instead of protected.,drives,,
"i am glad i know sign language, it has / it is pretty handy.",i,,
i do not have an attitude; i have a personality you can not handle.,do not,,
"it has / it is just a bad day, not a bad life.",just,not,
"every time i find the meaning of life, they change it.",every,i,
my mother never saw the irony in calling me a son-of-a-bitch.,my,me,
"yesterday, i fell down from a 10 meter ladder. thank god i was on the third step.",i,,
"i do not think you act stupid, i am sure it has / it is the real thing.",do not,,
"some people say ""if you can not beat them, join them"". i say ""if you can not beat them, beat them"", because they will be expecting you to join them, so you will have the element of surprise.",can not,beat,you
"i bet you $4,567.89 you can not guess how much i owe my bookie.",can not,i,
i am jealous of all the people that have not met you!,i,you,
"i was going to look for my missing watch, but i could never find the time.",i,look,
true friendship: walking into a persons house and your wifi connects automatically.,,,
i need to start paying closer attention to stuff. found out today my wife and i have separate names for the cat.,i,separate,
you have not experienced awkward until you try to tickle someone who is not ticklish.,have not,you,
"i like birthdays, but i think too many can kill you.",i,kill,
"ebay is so useless. i tried to look up lighters and all they had was 13,749 matches.",i,,
letting the cat out of the bag is a whole lot easier than putting it back in.,,,
smart people do not call themselves smart - me included.,do not,,
"i am sorry i was not part of your past, can i make it up by being in your future?",was not,your,
facts do not cease to exist because they are ignored.,not,,
what language are you speaking? cause it sounds like bullshit.,what,you,
the trouble with doing something right the first time is that nobody appreciates how difficult it was.,nobody,,
"you could very well be going to heaven, but it will not be hell in hell without you!",you,will not,
can i have your picture so i can show santa what i want for christmas?,your,show,
hit snooze until the panic sets in.,,,
it looks like your face caught on fire and someone tried to put it out with a hammer.,your,hammer,
"i always tell new hires, do not think of me as your boss, think of me as your friend who can fire you.",i,do not,you
how do you embarrass an archeologist? give him a used tampon and ask him which period it came from.,how,give,
there has / there is nothing like the joy on a kid's face when he first sees the playstation box containing the socks i got him for christmas.,nothing,,
i work to buy a car to go to work.,i,go,
"children seldom misquote you. in fact, they usually repeat word for word what you should not have said.",you,,
"autocorrect just changed ""i have so much anxiety i can barely breathe"" to ""i'm fine.""",i,breathe,
"if i had a face like yours, i had / i would sue my parents.",i,,
behind every great man is a woman rolling her eyes.,,,
"roses are red, violets are blue, god made me pretty, what happened to you?",me,you,
"i refused to believe my road worker father was stealing from his job, but when i got home, all the signs were there.",i,but,
that awkward moment when you are about to hug someone sexy as hell and then you hit the mirror.,you,hug,
"a friend of mine tried to annoy me with bird puns, but i soon realized that toucan play at that game.",mine,bird,
"do not you love nature, despite what it did to you?",you,,
hell is wallpapered with all your deleted selfies.,your,,
you are the reason the gene pool needs a lifeguard.,you,,
your life does not get better by chance. it gets better by choice.,your,better,
you are slower than a herd of turtles stampeding through peanut butter.,you,,
my wife sent her photograph to the lonely hearts club. they sent it back saying they were not that lonely.,my,were not,
"if you can go to the gym without telling people on the internet, you are instantly hired by the cia.",you,without,
everywhere is walking distance if you have the time.,everywhere,,
what do you call a smart blonde? a golden retriever.,,,
nothing makes me more suspicious than an unsolicited compliment.,nothing,,
"i asked my wife what she wanted for christmas. she told me ""nothing would make her happier than a diamond necklace"" so i bought her nothing.",what,nothing,
"i am on a seafood diet. every time i see food, i eat it.",i,every,
"music makes every day better, especially if you turn it up just loud enough to drown out all the people around you.",every,you,
turtles think frogs are homeless.,,,
"when i get naked in the bathroom, the shower usually gets turned on.",i,,
"what dog can jump higher than a building? any dog, buildings can not jump!",what,any,can not
the last airline i flew charged for everything. except for the bad service. that was free.,i,everything,
"thieves had broken into my house and stolen everything except my soap, shower gel, and towels. dirty bastards.",my,everything,
"when i die, i hope i have enough time to point at a complete stranger and whisper ""you did this.""",i,point,whisper
success is like pregnancy. everybody congratulates you but nobody knows how many times you got fucked to achieve it.,everybody,nobody,achieve
makeup tip: you are not in the circus.,you,,
"so, a thought crossed your mind? must have been a long and lonely journey.",crossed,,
"there has / there is only one problem with your face, i can see it.",your,see,
you so ugly when who were born the doctor threw you out the window and the window threw you back.,you,threw,
i love what you have done with your hair. how do you get it to come out of the nostrils like that?,i,your,
it has / it is not a relationship until you argue about whose turn it is to apologize.,not,you,
"do you know what it means to come home to a man who shall / who will give you a little love, a little affection, a little tenderness? it means you are in the wrong house.",you,little,
"remember, everyone seems normal until you get to know them...",everyone,you,
"you are so fake, barbie is jealous.",you,,
the dinner i was cooking for my family was going to be a surprise but the fire trucks ruined it.,my,surprise,
i thought i was just really tired but it has / it is been 5 years so i guess this is how i look now.,i,,
"the deeper the pit you are falling into, the more chance you have to learn how to fly.",deeper,you,fly
"""excuse me miss, can i have the time? i had / i would check my watch but i can not take my eyes off you.""",i,watch,can not
anyone who has never made a mistake has never tried anything new.,anyone,never,
calling you an idiot would be an insult to all stupid people.,you,,
why did the scientist install a knocker on his door? he wanted to win the no-bell prize!,why,,
any salad can be a caesar salad if you stab it enough.,stab,,
i am glad to see you are not letting your education get in the way of your ignorance.,i,not,
i am here for whatever you need me to do from the couch.,whatever,you,
the reason a dog has so many friends is that he wags his tail instead of his tongue.,so many,,
you are proof that evolution can go in reverse.,you,,
life is not about winning and losing. it has / it is about wishing you would have won and wondering why you lost.,is not,you,
"it does not matter how much you work, there will always be an asshole that works less but gets more.",does not,you,less
"i am good at multitasking and procrastinating, which means right now there are at least 28 things that i am putting off until later.",i,at least,
maybe if we start telling people the brain is an app they will start using it.,start,,
"we are born naked, wet and hungry. then things get worse.",worse,,
i would love to insult you... but that would be beyond the level of your intelligence.,i,you,beyond
"if winning is not everything, why do they keep score?",everything,why,
diplomacy is the art of sending someone to hell in the way that they are looking forward to it.,,,
q: what do you call the security outside of a samsung store? a: guardians of the galaxy.,outside,,
"my first job was working in an orange juice factory, but i got canned: could not concentrate.",my,,
a book just fell on my head. i have only got my shelf to blame.,head,i,
"now that i am older, i realize that my imaginary friend was really nothing more than an imaginary acquaintance.",i,nothing,
"the hotel has a live band and my favourite song is ""we're going for a break now, we will be back later"".",my,,
"someone just honked their horn to get me out of my parking space quicker, so now we will both be here until we are dead.",out,,
i would ask you how old you are but i know you can not count that high.,you,can not,
"ever stop to think, and forget to start again?",stop,,
"keep talking, someday you shall / you will say something intelligent!",you,,
you do realize makeup is not going to fix your stupidity?,you,is not,
always identify who to blame in an emergency.,who,,
i may love to shop but i am not buying your bullshit.,i,not,
what is a video game characters favorite method of brawling? hitboxing!,what,,
give me ambiguity or give me something else.,me,,
a courtroom artist was arrested today for an unknown reason... details are sketchy.,,,
a procrastinator's work is never done.,never,,
i would like to thank everybody that stuck by my side for those five long minutes my house did not have internet.,i,everybody,did not
my kids are very optimistic. every glass they leave sitting around the house is at least half full.,every,at least,
"my parents will not say which of their six kids they love the best, but they have told me i finished just out of the top five.",will not,me,
do it tomorrow. you have made enough mistakes for today.,you,enough,
do you wanna lose ten pounds of ugly fat? cut off your head.,you,cut,
"i do not know what makes you so stupid, but it really works.",do not,you,
the trouble with unemployment is that the minute you wake up in the morning you are on the job.,you,wake up,
always borrow money from a pessimist. he will not expect it back.,will not,,
what is the one thing that all men at singles bars have in common? they are married.,what,all,
told my wife i wanted our kids every other weekend and she reminded me that we are married and live together so i had / i would have to see them every day.,i,together,every
"what was forrest gump's email password? ""1forrest1""",what,,
sometimes waking up means the best part of your day is over!,waking up,,
what has / what is the difference between your girlfriend and a walrus? one has a moustache and smells of fish and the other is a walrus.,what,,
i do not think you are stupid. you just have a bad luck when thinking.,do not,you,
i do not approve of political jokes...i've seen too many of them get elected.,do not,too many,
some of us learn from the mistakes of others; the rest of us have to be the others.,us,,
my speech today will be like a mini-skirt. long enough to cover the essentials but short enough to hold your attention!,my,long,your
how do you make a blonde laugh on saturday? tell her a joke on wednesday!,how,,
i am in a long distance relationship. my girlfriend is in the future.,i,,
"a positive attitude may not solve all your problems, but it will annoy enough people to make it worth the effort.",not,,
"why is ""abbreviation"" such a long word?",why,,
laziness is when a person does not fake that he has / he is working.,does not,,
"whenever i have a headache, i take two asprins and keep away the children,like the bottle says",i,keep away,
i am having an introvert party and you are all not invited.,i,not,
"i am no photographer, but i can picture us together.",i,us,
"as an outsider, what do you think of the human race?",what,,
only after getting married you realise that those husband-wife jokes were not just jokes.,you,not,
"why does not mexico have an olympic team? because everybody who can run, jump and swim are already in the u.s.",why,run,
"if i wanted to hear from an asshole, i had / i would fart.",i,,
what can strike a blonde without her even knowing it? a thought.,what,without,
"what has / what is the difference between a northern fairytale and a southern fairytale? a northern fairytale begins ""once upon a time ..."" a southern fairytale begins ""y'all am not / are not gonna believe this shit ...""",what,,
"i had / i would like to see things from your point of view, but i can not seem to get my head that far up your ass.",i,your,can not
"you are not as bad as people say, you are much, much worse.",you,not,worse
"father's day, the most confusing day in the ghetto.",,,
time is what keeps things from happening all at once.,,,
anger; the feeling that makes your mouth work faster than your mind.,your,,
failure is not an option; it comes bundled with the software.,not,,
"if you do not like the news, go out and make some.",do not,go out,
we are all time travelers moving at the speed of exactly 60 minutes per hour.,all,,
would not exercise be more fun if calories screamed while you burned them?,you,,
"""i'm sorry"" and ""i apologize"" mean the same thing... except when you are at a funeral.",same,you,
we come to love not by finding a perfect person... but by learning to see an imperfect person perfectly.,not,,
i think they picked me for my motivational skills. everyone always says they have to work twice as hard when i am around!,i,everyone,
my resume is just a list of things i hope you never ask me to do.,my,i,never
"a tv can insult your intelligence, but nothing rubs it in like a computer.",nothing,,
do i know you? cause you look a lot like my next girlfriend.,i,you,
"if you are going through hell, keep going.",you,keep,
"i got lost in your eyes. but i also get lost in most department stores, so i would not read too much into it.",i,would not,
brains are not / am not everything. in your case they are nothing.,are not / am not,your,
"by the time you learn the rules of life, you are too old to play the game.",you,,
experience is what you get when you did not get what you wanted.,you,did not,
"always remember you are unique, just like everyone else.",you,everyone,
i can feel my personality turning a dull shade of grey when i talk to you.,i,you,
"living on earth may be expensive, but it includes an annual free trip around the sun.",around,,
"he does not know the meaning of fear... but then again, he does not know the meaning of most words.",does not,,
what do prisoners use to call each other? cell phones.,what,,
"hard work never killed anyone, but why take the chance?",never,killed,why
statistically 6 out of 7 dwarfs are not happy.,not,,
"if god is watching us, the least we can do is be entertaining.",us,,
you are so ugly when you looked in the mirror your reflection walked away.,you,mirror,away
"i hate insects puns, they really bug me.",i,,
"my wife's not too smart. i told her, our kids were spoiled. she said, ""all kids smell that way.""",not,all,
"a girl phoned me the other day and said, ""come on over, there has / there is nobody home."" i went over. nobody was home.",me,nobody,
the road to success is always under construction.,,,
imagine being 5 minutes from the end of the longest movie ever & it starts over because it forgot something. that has / that is my kid telling a story.,imagine,,
"when your kids are little you are a super hero. when they are teens you are a super villain. after that, your only power is invisibility.",your,after,
retirement is the time in your life when time is no longer money.,your,no longer,
"there may be no excuse for laziness, but i am still looking for.",no,,
"the sun is going to go out in 4 billion years, and you sit there and act like everything is fine.",you,everything,
"the reason grandchildren and grandparents get along so well is because they have a common ""enemy"".",so,,
"karma takes too long, i had / i would rather beat the shit out of you just now.",too long,you,
i find a duck's opinion of me is very much influenced by whether or not i have bread.,me,whether or not,
why do not we wait for life on other planets to find us? why do we have to do all the work?,why do not,all,
"you are so ugly, you scared the crap out of the toilet.",you,scared,
i thought reverse psychology was when you made your therapist cry.,i,you,cry
"if you keep your feet firmly on the ground, you shall / you will have trouble putting on your pants.",you,,
comedy is tragedy plus time.,,,
my resolution was to read more so i put the subtitles on my tv.,my,put,
a psychiatrist asks a lot of expensive questions which your wife asks for nothing.,your,nothing,
the trouble with being punctual is that nobody is there to appreciate it.,nobody,,
i intend to live forever... or die trying.,i,,
"maybe if we all sit extremely still, monday will not be able to see us.",will not,us,
did you hear about the italian chef with a terminal illness? he pastaway.,,,
do not tell me i do not know the difference between right and wrong. wrong is the fun one.,do not,between,
for every action there is an equal and opposite criticism.,every,,
i just want to be rich enough to be referred to as eccentric instead of just nuts.,i,instead,
there has / there is nothing i have learned from being a father that i could not just as easily have figured out from setting all my money on fire.,nothing,could not,
"okay, who stopped the payment on my reality check?",who,my,
"my son is an ungrateful little shit! i bought him a trampoline for christmas, but he had / he would rather sit in his wheelchair and cry.",my,cry,
i wonder if my first cat appreciates being at least slightly immortalized in my passwords.,wonder,,
just tell me when and where and i shall / i will be there 20 minutes late.,i,,
i just hired a private investigator to find out what i do all day.,i,,
"my first child has gone off to college and i feel a great emptiness in my life. specifically, in my checking account.",my,great,
you are living proof that manure can sprout legs and walk.,you,,
if bullshit could float … you would be the admiral of the fleet!,you,,
what would you call a woman who goes out with you? desperate!,what,you,
support bacteria - they are the only culture some people have.,,,
"i think sex is better than logic, but i can not prove it.",i,,
what do women and police cars have in common? they both make a lot of noise to let you know they are coming.,what,both,you
"if ignorance is bliss, you must be the happiest person on earth.",you,,
why do not cannibals eat clowns? they taste funny.,why,do not,
why did the bee get married? because he found his honey.,why,,
"if you can not say something nice, say it to your husband... he has / he is not listening anyway.",you,not,
you are so beautiful you made me forget my pick up line.,you,my,
the biggest difference between men and women is what comes to mind when the word 'facial' is used.,between,,
it has / it is not the fall that kills you; it has / it is the sudden stop at the end.,not,kills,
can not wait to start my new years resolution in 2018!,can not wait,my,
i am looking at the serving size of laughing cow cheese and i see why the cow is laughing.,i,why,
"a healthy sleep not only makes your life longer, but also shortens the workday.",longer,,
"interviewer: ""why do you want this job?""me: ""i have just always been very passionate about not starving to death.""",why,i,
smartphones are pacifiers for adults.,,,
love's a lot like a bullet in that the exit usually causes the most damage.,most,,
you are like school in the summertime - no class.,you,,
i have put something aside for a rainy day. it has / it is an umbrella.,i,aside,
i know i am getting old... the other day i walked past a cemetery and two guys attacked me with shovels.,i,me,
a clean house is a sign of a misspent life.,,,
"do not be afraid to stand for what you believe in, even if that means standing alone.",you,,
"remember, it has / it is not what you do... it has / it is what you get away with.",remember,not,you
